"Authors","Title","Year","Source title","DOI","Abstract","Author Keywords"
"deora n.; kar s.; pande v.; sinha a.","75 years' journey of malaria publications in english: what and where?","2024","malaria journal","10.1186/s12936-024-04992-1","malaria has inflicted serious morbidity and mortality across the globe. the major brunt of the disease has been on african, south-east asian and south american countries. proportionally, malaria has attracted global research priorities and this is evident from the number of publications related to malaria from across the globe, irrespective of its endemicity. however, formal and exhaustive analyses of these 'malaria publications' are rarely reported. the systematic review and secondary data analyses were done to retrieve information on what has been published on malaria, where is it published, and which countries are major contributors to malaria research. the study presents malaria publications from 1945 to 2020 retrieved using three databases: web of science(tm), embase(r) and scopus(r). exported data were examined to determine the number of publications over time, their subject areas, contributions from various countries/organizations, and top publishing journals. the total number of published records on malaria ranged from 90,282 to 112,698 (due to three different databases). based on the number of publications, usa, uk, france, and india were identified as the top four countries. malaria journal, american journal of tropical medicine & hygiene, and plos one were the most preferred journals, whereas the university of london (institutions other than lshtm), the national institute of health, the london school of hygiene and tropical medicine, and the university of oxford appeared to be the top contributing organization. a disproportional contribution to malaria research was observed with non-malaria endemic countries making the largest contribution. databases differed in their output format and needed standardization to make the outputs comparable across databases. (c) the author(s) 2024.","countries; journals; malaria; publications; subject"
"dang x.w.; huang h.l.; huang l.; wang y.j.","research frontiers and hotspots of carbon nanomaterials in biomedical field over the past 10 years","2025","chinese journal of tissue engineering research","10.12307/2024.812","background: research on carbon nanomaterials in the biomedical field is booming, and related scientific research results are increasing year by year. however, visualization analysis of the annual number of publications, the research status of countries, institutions, authors, and research hotspots and trends in this field is relatively scarce. objective: to present the research status of carbon nanomaterials in biomedical field, reveal the main research subjects, explore the research hotspots and development trends, and provide a reference for the future development of this field. methods: the core data set of web of science was used as the literature source to search the relevant researches on carbon nanomaterials in the biomedical field from 2012 to 2023. the knowledge map was generated by using citespace software with countries, institutions, authors, keywords, and co-citations as nodes and for visualization analysis. results and conclusion: (1) a total of 2 932 papers were included in this study. in the medical field, carbon nanomaterials had a large number of papers and a fast growth rate. the united states has a large number of papers; china is an emerging force in this field, although the number of papers is the largest, but the level of research and influence need to be improved. the chinese academy of sciences is the largest cooperative network institution, which mainly targets domestic institutions and lacks cooperation with well-known foreign institutions. (2) keyword analysis displays that the green synthesis method and application of displaying carbon points have been the focus of research, followed by the new method of combining carbon nanomaterials with cancer phototherapy and immunotherapy, the key direction of future research. (3) the dynamic development trend of co-citations suggests that tissue engineering is a hot research topic of carbon nanomaterials in the field of biomedicine, mainly including the research of carbon nanomaterials for the repair and regeneration of heart and nerve tissue and as a bio-ink additive for 3d and 4d bioprinting. (4) in the future, with the development of the biomedical field in the direction of precision and treatment, researchers should speed up the creation of carbon-based systems formed by the combination of scientific and effective carbon nanomaterials with science and technology, new polymers or organic molecules, and new therapeutic methods, so as to give full play to the maximum effect of carbon nanomaterials. (c) 2025, publishing house of chinese journal of tissue engineering research. all rights reserved.","bibliometrics; biomedicine; biosafety; cancer; carbon nanomaterial; citespace; co-citation; research hotspot; tissue engineering; visualization"
"wang y.; chen l.; zhu y.; fang w.; tan y.; he z.; liao h.","research status, trends, and mechanisms of biochar adsorption for wastewater treatment: a scientometric review","2024","environmental sciences europe","10.1186/s12302-024-00859-z","in the last decade, biochar application research has emerged as a hot topic in water treatment studies, which made biochar adsorption one of the primary wastewater treatment strategies. this paper presents a global bibliometric analysis of 2673 publications from the web of science database, spanning 2011-2022. for a comprehensive understanding of the research status and trends in biochar adsorption for wastewater treatment, the advanced quantitative and visual analysis tools (i.e., citespace and arcgis) were employed. the results showed that china emerged as the leading country with the most published articles. the key research area is on the magnetic adsorption of biochar in wastewater. the articles summarized in the review demonstrated unequivocally that biochar can treat a wide range of wastewater even though the adsorption mechanisms of biochar on heavy metals, inorganic salts and organic pollutants in wastewater are not entirely consistent. the review further analyzes the factors affecting the performance of biochar in adsorbing pollutants from wastewater and the improvement measures of biochar functional characteristics, proposing the future research directions focusing on the improvement of the adsorption capacity of biochar products. the information synthesis and discussion would provide valuable insights on the historical, current, and future trends in biochar research, beneficial to solve the practical problems of water pollution and improve the quality of the environment. (c) the author(s) 2024.","adsorption; biochar; citespace; pollutant; wastewater"
"huijun l.; huangyan l.; yeting z.","physical activity and cognition in older adults: research hotspot and topic evolution","2025","chinese journal of tissue engineering research","10.12307/2025.301","background: in recent years, there has been an explosion of research in the field of physical activity and cognition of older adults, and the research hotspots and topics in this field are constantly evolving. however, a comprehensive review of the literature in this field is lacking. objective: to explore the current international research hotspots and contents in the field of physical activity and cognition of older adults using bibliometrics. methods: the web of science core collection database, including sci-expanded, ssci, a&hci, cpci-s, cpci-ssh, bkci-s, bkci-ssh, esci, ccr-expanded, ic, etc., was searched for relevant literature in english. citespace software was used to visualize and analyze 2593 documents collected in the web of science database. results and conclusion: the evolution of the topics of physical activity and cognition of older adults includes five stages: research on companion robots for older adults, research on the risk of diseases such as dementia, research on cognitive ability and its related ability, research on the relationship between physical activity level and cognitive ability in older adults, and research on different intervention methods and their mechanisms. the research in this field tends to be diversified. on the basis of the research on diseases and cognitive risk reduction, more attention has been paid to the effects of different physical activity modalities on cognition and the related mechanisms, which is the current research hotspot and will be the main research trend in the future. (c) 2025, publishing house of chinese journal of tissue engineering research. all rights reserved.","bibliometrics; citespace; cognition; older adults; physical activity"
"zhang h.; xin h.; zhao m.; bi c.; xiao y.; li y.; qin c.","global research trends on the relationship between ibd and crc: a bibliometric analysis from 2000 to 2023","2024","journal of health, population and nutrition","10.1186/s41043-024-00577-5","objective: this study aimed to conduct a bibliometric analysis of research articles on the relationship between inflammatory bowel disease (ibd) and colorectal cancer (crc) using citespace to summarize the current research status, hotspots, and trends in this field and present the results visually. method: research articles on the relationship between ibd and crc published from 2000 to 2023 and in english were selected from the web of science core collection (woscc) database. the articles were downloaded as full record and references. citespace was used to conduct cooperative, cluster, co-citation, and burst analyses. results: the literature search revealed 4244 articles; of which, 5 duplicates were removed, resulting in the inclusion of 4239 articles in this study. the united states of america had the highest number of publications, with mayo clinic and harvard university being the most active institutions, and bas oldenburg being the most active author. collaboration among core authors was inadequate. ja eaden was the most cited author, and crc was the most common keyword. burst analysis indicated that sun yat-sen university might be one of the institutions with a large contribution to this research field in the future. cluster analysis showed that earlier research focused more on microsatellite instability, whereas gut microbiota and oxidative stress are considered current research hotspots and trends. conclusion: at present, the primary focus areas of research are gut microbiota and oxidative stress. with the improvement of healthcare policies and standards, regular endoscopic monitoring of patients with ibd has become an indispensable diagnostic and therapeutic practice. more drugs will be developed to reduce the risk of progression from ibd to crc. the findings of this study provide valuable insights into the relationship between ibd and crc for researchers in the same field. (c) the author(s) 2024.","bibliometric; citespace; crc; ibd; woscc"
"gu z.; liu y.","a bibliometric and visualized in oral microbiota and cancer research from 2013 to 2022","2024","discover oncology","10.1007/s12672-024-00878-5","numerous studies have highlighted the implication of oral microbiota in various cancers. however, no bibliometric analysis has been conducted on the relationship between oral microbiota and cancer. this bibliometric analysis aimed to identify the research hotspots in oral microbiota and cancer research, as well as predict future research trends. the literature published relating to oral microbiota and cancer was searched from the web of science core collection database (woscc) from 2013 to 2022. vosviewer or citespace software was used to perform the bibliometric analysis, focusing on countries, institutions, authors, journals, keywords and references. a total of 1516 publications were included in the analysis. the number of publications related oral microbiota and cancer increased annually, reaching its peak in 2022 with 287 papers. the united states (456) and china (370) were the countries with the most publications and made significant contributions to the field. sears cl and zhou xd were the most productive authors. the high frequency of keywords revealed key topics, including cancer (colorectal cancer, oral cancer), oral microbiota (fusobacterium nucleatum, porphyromonas gingivalis), and inflammation (periodontal disease). the latest trend keywords were f. nucleatum, dysbiosis, prognosis, tumor microenvironment, gastric microbiota, complications and survival, suggesting a new hotspot in the field of oral microbiota and cancer. our study provides a comprehensive analysis of oral microbiota and cancer research, revealing an increase in publications in recent years. future research directions will continue to focus on the diversity of oral microbiota impacted by cancers and the underlying mechanism connecting them, providing new ideas for targeted therapy of tumorigenesis. (c) 2024, the author(s).","bibliometric analysis; cancer; oral microbiota; vosviewer; woscc"
"astudillo potes m.d.; bauman m.m.j.; shoushtari a.; winter b.m.; singh r.; rahmani r.; catapano j.; lawton m.t.","elucidating the pathogenesis behind arteriovenous malformations of the central nervous system: a bibliometric analysis","2024","neurosurgical review","10.1007/s10143-024-02367-3","arteriovenous malformations (avms) are vascular malformations of the central nervous system (cns) with potential for significant consequences. the exact pathophysiologic mechanism of avm formation is not fully understood. this study aims to evaluate bibliometric parameters and citations of the literature of avms to provide an overview of how the field has evolved. we performed an electronic search on web of science to identify the top 100 published and indexed articles with the highest number of citations discussing the pathogenesis of avms. this study yielded 1863 articles, of which the top 100 were selected based on the highest total citation count. these articles included 24% basic science, 46% clinical, and 30% review articles. the most-cited article was a clinical article from 2003, and the most recent was published in 2022. the median number of authors was 6, with the highest being 46 for a clinical article. the top 5 journals were identified, with the highest impact factor being 20.1. 13 countries were identified, with the us contributing the most articles (approximately 70%). regarding genes of investigation, vegf was one of the early genes investigated, while more interested in ras/mapk has been garnered since 2015. there is a growing interest in avm genomics and pathogenesis research. while progress has been made in understanding clinical aspects and risk factors, the exact pathophysiological mechanisms and genetic basis of avm formation remain incompletely understood. further investigation of key genes in avm pathogenesis can allow identification of potential therapeutic targets. (c) the author(s), under exclusive licence to springer-verlag gmbh germany, part of springer nature 2024.","arteriovenous malformations; avm; bibliometric analysis; pathogenesis"
"andersen m.z.; zeinert p.; rosenberg j.; fonnes s.","comparative analysis of cochrane and non-cochrane reviews over three decades","2024","systematic reviews","10.1186/s13643-024-02531-2","background: systematic reviews are viewed as the best study design to guide clinical decision-making as they are the least biased publications assuming they are well-conducted and include well-designed studies. cochrane was initiated in 1993 with an aim of conducting high-quality systematic reviews. we aimed to examine the publication rates of non-cochrane systematic reviews (henceforth referred to simply as systematic reviews) and cochrane reviews produced throughout cochrane's existence and characterize changes throughout the period. methods: this observational study collected data on systematic reviews published between 1993 and 2022 in pubmed. identified cochrane reviews were linked to data from the cochrane database of systematic reviews via their digital object identifier. systematic reviews and cochrane reviews were analyzed separately. two authors screened a random sample of records to validate the overall sample, providing a precision of 98%. results: we identified 231,602 (94%) systematic reviews and 15,038 (6%) cochrane reviews. publication of systematic reviews has continuously increased with a median yearly increase rate of 26%, while publication of cochrane reviews has decreased since 2015. from 1993 to 2002, cochrane reviews constituted 35% of all systematic reviews in pubmed compared with 3.5% in 2013-2022. systematic reviews consistently had fewer authors than cochrane reviews, but the number of authors increased over time for both. chinese first authors conducted 15% and 4% of systematic reviews published from 2013-2022 and 2003-2012, respectively. most cochrane reviews had first authors from the uk (36%). the native english-speaking countries the usa, the uk, canada, and australia produced a large share of systematic reviews (42%) and cochrane reviews (62%). the largest publishers of systematic reviews in the last 10 years were gold open access journals. conclusions: publication of systematic reviews is increasing rapidly, while fewer cochrane reviews have been published through the last decade. native english-speaking countries produced a large proportion of both types of systematic reviews. gold open access journals and chinese first authors dominated the publication of systematic reviews for the past 10 years. more research is warranted examining why fewer cochrane reviews are being published. additionally, examining these systematic reviews for research waste metrics may provide a clearer picture of their utility. (c) the author(s) 2024.","bibliometrics; cochrane; evidence-based medicine; information science; systematic review"
"wang r.; huang s.; wang p.; shi x.; li s.; ye y.; zhang w.; shi l.; zhou x.; tang x.","bibliometric analysis of the application of deep learning in cancer from 2015 to 2023","2024","cancer imaging","10.1186/s40644-024-00737-0","background: recently, the application of deep learning (dl) has made great progress in various fields, especially in cancer research. however, to date, the bibliometric analysis of the application of dl in cancer is scarce. therefore, this study aimed to explore the research status and hotspots of the application of dl in cancer. methods: we retrieved all articles on the application of dl in cancer from the web of science database core collection database. biblioshiny, vosviewer and citespace were used to perform the bibliometric analysis through analyzing the numbers, citations, countries, institutions, authors, journals, references, and keywords. results: we found 6,016 original articles on the application of dl in cancer. the number of annual publications and total citations were uptrend in general. china published the greatest number of articles, usa had the highest total citations, and saudi arabia had the highest centrality. chinese academy of sciences was the most productive institution. tian, jie published the greatest number of articles, while he kaiming was the most co-cited author. ieee access was the most popular journal. the analysis of references and keywords showed that dl was mainly used for the prediction, detection, classification and diagnosis of breast cancer, lung cancer, and skin cancer. conclusions: overall, the number of articles on the application of dl in cancer is gradually increasing. in the future, further expanding and improving the application scope and accuracy of dl applications, and integrating dl with protein prediction, genomics and cancer research may be the research trends. (c) the author(s) 2024.","bibliometric analysis; cancer; citespace; deep learning; imaging; vosviewer"
"rivero-moreno y.; rodriguez-rodriguez m.; machado-paled d.; echevarria s.; pouwels s.; abou-mrad a.; oviedo r.","robotic surgery across latin america: a bibliometric analysis of research trends from 2009 to 2022","2024","journal of robotic surgery","10.1007/s11701-024-01865-2","the rise of robotic surgery throughout the world, particularly in latin america, justifies an objective evaluation of research in this field. this study aimed to use bibliometric techniques to identify the research trends and patterns of robotic surgery in latin america. the research strategy used the terms robotic, surgery, and the name of all the latin american countries, in all fields and collections of web of science database. only original articles published between 2009 and 2022 were included. the software rayyan, bibliometric in the r studio, and vosviewer were used to develop the analyses. after screening, 96 articles were included from 60 different journals. there was a 22.51% annual increase in the scientific production of robotic surgery in the period studied. the more frequent topics by specialty were: urology (35.4%), general surgery (34.4%), and obstetrics and gynecology (12%). international cooperation was observed in 65.62% of the studies. the latin american institution with the highest production of manuscripts was the pontificia universidad catolica de chile. mexico, chile, and brazil were, in descending order, the nations with the highest number of corresponding authors and total citations. when considering the total number of articles, brazil ranked ahead of chile. scientific production regarding robotic surgery in latin america has experienced accelerated growth since its beginning, supported by the high degree of collaboration with leading countries in the field. (c) the author(s), under exclusive licence to springer-verlag london ltd., part of springer nature 2024.","bibliometric analysis; latin america; robotic surgery"
