AU	TI	PY	SO	DI	AB	DE
aria m.; cuccurullo c.	<i>bibliometrix</i>: an r-tool for comprehensive science mapping analysis	2017	journal of informetrics	10.1016/j.joi.2017.08.007	the use of bibliometrics is gradually extending to all disciplines. it is particularly suitable for science mapping at a time when the emphasis on empirical contributions is producing voluminous, fragmented, and controversial research streams. science mapping is complex and unwieldly because it is multi-step and frequently requires numerous and diverse software tools, which are not all necessarily freeware. although automated workflows that integrate these software tools into an organized data flow are emerging, in this paper we propose a unique open-source tool, designed by the authors, called bibliometrix, for performing comprehensive science mapping analysis. bibliometrix supports a recommended workflow to perform bibliometric analyses. as it is programmed in r, the proposed tool is flexible and can be rapidly upgraded and integrated with other statistical r-packages. it is therefore useful in a constantly changing science such as bibliometrics. (c) 2017 elsevier ltd. all rights reserved.	sbibliometrics; science mapping; workflow; co-citation; bibliographic coupling; r package
rodriguez a.; laio a.	clustering by fast search and find of density peaks	2014	science	10.1126/science.1242072	a cluster analysis is aimed at classifying elements into categories on the basis of their similarity. its applications range from astronomy to bioinformatics, bibliometrics, and pattern recognition. we propose an approach based on the idea that cluster centers are characterized by a higher density than their neighbors and by a relatively large distance from points with higher densities. this idea forms the basis of a clustering procedure in which the number of clusters arises intuitively, outliers are automatically spotted and excluded fromthe analysis, and clusters are recognized regardless of their shape and of the dimensionality of the space inwhich they are embedded. we demonstrate the power of the algorithm on several test cases.	
zupic i.; cater t.	bibliometric methods in management and organization	2015	organizational research methods	10.1177/1094428114562629	we aim to develop a meaningful single-source reference for management and organization scholars interested in using bibliometric methods for mapping research specialties. such methods introduce a measure of objectivity into the evaluation of scientific literature and hold the potential to increase rigor and mitigate researcher bias in reviews of scientific literature by aggregating the opinions of multiple scholars working in the field. we introduce the bibliometric methods of citation analysis, co-citation analysis, bibliographical coupling, co-author analysis, and co-word analysis and present a workflow for conducting bibliometric studies with guidelines for researchers. we envision that bibliometric methods will complement meta-analysis and qualitative structured literature reviews as a method for reviewing and evaluating scientific literature. to demonstrate bibliometric methods, we performed a citation and co-citation analysis to map the intellectual structure of the organizational research methods journal.	bibliometrics; co-citation; bibliographic coupling; science mapping
mongeon p.; paul-hus a.	the journal coverage of web of science and scopus: a comparative analysis	2016	scientometrics	10.1007/s11192-015-1765-5	bibliometric methods are used in multiple fields for a variety of purposes, namely for research evaluation. most bibliometric analyses have in common their data sources: thomson reuters' web of science (wos) and elsevier's scopus. the objective of this research is to describe the journal coverage of those two databases and to assess whether some field, publishing country and language are over or underrepresented. to do this we compared the coverage of active scholarly journals in wos (13,605 journals) and scopus (20,346 journals) with ulrich's extensive periodical directory (63,013 journals). results indicate that the use of either wos or scopus for research evaluation may introduce biases that favor natural sciences and engineering as well as biomedical research to the detriment of social sciences and arts and humanities. similarly, english-language journals are overrepresented to the detriment of other languages. while both databases share these biases, their coverage differs substantially. as a consequence, the results of bibliometric analyses may vary depending on the database used. these results imply that in the context of comparative research evaluation, wos and scopus should be used with caution, especially when comparing different fields, institutions, countries or languages. the bibliometric community should continue its efforts to develop methods and indicators that include scientific output that are not covered in wos or scopus, such as field-specific and national citation indexes.	bibliometrics; citation indexes; scopus; web of science; research evaluation
p.r.i.t.c.h.a.r.d.. a.	statistical bibliography or bibliometrics	1969	journal of documentation			
ellegaard o.; wallin j.a.	the bibliometric analysis of scholarly production: how great is the impact?	2015	scientometrics	10.1007/s11192-015-1645-z	bibliometric methods or analysis are now firmly established as scientific specialties and are an integral part of research evaluation methodology especially within the scientific and applied fields. the methods are used increasingly when studying various aspects of science and also in the way institutions and universities are ranked worldwide. a sufficient number of studies have been completed, and with the resulting literature, it is now possible to analyse the bibliometric method by using its own methodology. the bibliometric literature in this study, which was extracted from web of science, is divided into two parts using a method comparable to the method of jonkers et al. (characteristics of bibliometrics articles in library and information sciences (lis) and other journals, pp. 449-551, 2012: the publications either lie within the information and library science (ils) category or within the non-ils category which includes more applied, subject based studies. the impact in the different groupings is judged by means of citation analysis using normalized data and an almost linear increase can be observed from 1994 onwards in the non-ils category. the implication for the dissemination and use of the bibliometric methods in the different contexts is discussed. a keyword analysis identifies the most popular subjects covered by bibliometric analysis, and multidisciplinary articles are shown to have the highest impact. a noticeable shift is observed in those countries which contribute to the pool of bibliometric analysis, as well as a self-perpetuating effect in giving and taking references.	bibliometric analysis; citation analysis; publication analysis; impact of publications
fahimnia b.; sarkis j.; davarzani h.	green supply chain management: a review and bibliometric analysis	2015	international journal of production economics	10.1016/j.ijpe.2015.01.003	the emergent field of green supply chain management has been rapidly evolving with a geometric growth in the number of academic publications in this field. a number of literature reviews have been published focusing on specific aspects of green supply chain management such as performance measurement, supplier selection/evaluation, analytical modeling efforts, and some others with broader areas of focus. this paper presents a thorough bibliometric and network analysis that provides insights not previously fully grasped or evaluated by other reviews on this topic. the analysis begins by identifying over 1000 published studies, which are then distilled down to works of proven influence and those authored by influential investigators. using rigorous bibliometric tools, established and emergent research clusters are identified for topological analysis, identification of key research topics, interrelations, and collaboration patterns. this systematic mapping of the field helps graphically illustrate the publications evolution over time and identify areas of current research interests and potential directions for future research. the findings provide a robust roadmap for further investigation in this field. (c) 2015 elsevier b.v. all rights reserved.	green supply chain; environmental sustainability; bibliometrics; literature review; network analysis
chen c.m.; ibekwe-sanjuan f.; hou j.h.	the structure and dynamics of cocitation clusters: a multiple-perspective cocitation analysis	2010	journal of the american society for information science and technology	10.1002/asi.21309	a multiple-perspective cocitation analysis method is introduced for characterizing and interpreting the structure and dynamics of cocitation clusters. the method facilitates analytic and sense making tasks by integrating network visualization, spectral clustering, automatic cluster labeling, and text summarization. cocitation networks are decomposed into cocitation clusters. the interpretation of these clusters is augmented by automatic cluster labeling and summarization. the method focuses on the interrelations between a cocitation cluster's members and their citers. the generic method is applied to a three-part analysis of the field of information science as defined by 12 journals published between 1996 and 2008: (a) a comparative author cocitation analysis (aca), (b) a progressive aca of a time series of cocitation networks, and (c) a progressive document cocitation analysis (dca). results show that the multiple-perspective method increases the interpretability and accountability of both aca and dca networks.	
ramos-rodriguez a.r.; ruiz-navarro j.	changes in the intellectual structure of strategic management research:: a bibliometric study of the <i>strategic management journal</i>, 1980-2000	2004	strategic management journal	10.1002/smj.397	the aim of this paper is to identify the works that have had the greatest impact on strategic management research and to analyze the changes that have taken place in the intellectual structure of this discipline. the methodology is based on the bibliometric techniques of citation and co-citation analysis which are applied to all the articles published in the strategic management journal from its first issue in 1980 through 2000. copyright (c) 2004 john wiley sons, ltd.	strategic management research; bibliometrics; co-citation analysis
martin-martin a.; orduna-malea e.; thelwall m.; lopez-cozar e.d.	google scholar, web of science, and scopus: a systematic comparison of citations in 252 subject categories	2018	journal of informetrics	10.1016/j.joi.2018.09.002	despite citation counts from google scholar (gs), web of science (wos), and scopus being widely consulted by researchers and sometimes used in research evaluations, there is no recent or systematic evidence about the differences between them. in response, this paper investigates 2,448,055 citations to 2299 english-language highly-cited documents from 252 gs subject categories published in 2006, comparing gs, the wos core collection, and scopus. gs consistently found the largest percentage of citations across all areas (93%-96%), far ahead of scopus (35%-77%) and wos (27%-73%). gs found nearly all the wos (95%) and scopus (92%) citations. most citations found only by gs were from non-journal sources (48%-65%), including theses, books, conference papers, and unpublished materials. many were non-english (19%-38%), and they tended to be much less cited than citing sources that were also in scopus or wos. despite the many unique gs citing sources, spearman correlations between citation counts in gs and wos or scopus are high (0.78-0.99). they are lower in the humanities, and lower between gs and wos than between gs and scopus. the results suggest that in all areas gs citation data is essentially a superset of wos and scopus, with substantial extra coverage. (c) 2018 elsevier ltd. all rights reserved.	google scholar; web of science; scopus; bibliographic databases; academic search engines; coverage; citation analysis; unique citations; citation overlap; bibliometrics; scientometrics
