AU	TI	PY	SO	DI	AB	DE
Deora N.; Kar S.; Pande V.; Sinha A.	75 years’ journey of malaria publications in English: what and where?	2024	Malaria Journal	10.1186/s12936-024-04992-1	Malaria has inflicted serious morbidity and mortality across the globe. The major brunt of the disease has been on African, South-East Asian and South American countries. Proportionally, malaria has attracted global research priorities and this is evident from the number of publications related to malaria from across the globe, irrespective of its endemicity. However, formal and exhaustive analyses of these ‘malaria publications’ are rarely reported. The systematic review and secondary data analyses were done to retrieve information on what has been published on malaria, where is it published, and which countries are major contributors to malaria research. The study presents malaria publications from 1945 to 2020 retrieved using three databases: Web of Science™, Embase® and Scopus®. Exported data were examined to determine the number of publications over time, their subject areas, contributions from various countries/organizations, and top publishing journals. The total number of published records on malaria ranged from 90,282 to 112,698 (due to three different databases). Based on the number of publications, USA, UK, France, and India were identified as the top four countries. Malaria Journal, American Journal of Tropical Medicine & Hygiene, and PLoS One were the most preferred journals, whereas the University of London (Institutions other than LSHTM), the National Institute of Health, the London School of Hygiene and Tropical Medicine, and the University of Oxford appeared to be the top contributing organization. A disproportional contribution to malaria research was observed with non-malaria endemic countries making the largest contribution. Databases differed in their output format and needed standardization to make the outputs comparable across databases. © The Author(s) 2024.	Countries; Journals; Malaria; Publications; Subject
Dang X.W.; Huang H.L.; Huang L.; Wang Y.J.	Research frontiers and hotspots of carbon nanomaterials in biomedical field over the past 10 years	2025	Chinese Journal of Tissue Engineering Research	10.12307/2024.812	BACKGROUND: Research on carbon nanomaterials in the biomedical field is booming, and related scientific research results are increasing year by year. However, visualization analysis of the annual number of publications, the research status of countries, institutions, authors, and research hotspots and trends in this field is relatively scarce. OBJECTIVE: To present the research status of carbon nanomaterials in biomedical field, reveal the main research subjects, explore the research hotspots and development trends, and provide a reference for the future development of this field. METHODS: The core data set of Web of Science was used as the literature source to search the relevant researches on carbon nanomaterials in the biomedical field from 2012 to 2023. The knowledge map was generated by using Citespace software with countries, institutions, authors, keywords, and co-citations as nodes and for visualization analysis. RESULTS AND CONCLUSION: (1) A total of 2 932 papers were included in this study. In the medical field, carbon nanomaterials had a large number of papers and a fast growth rate. The United States has a large number of papers; China is an emerging force in this field, although the number of papers is the largest, but the level of research and influence need to be improved. The Chinese Academy of Sciences is the largest cooperative network institution, which mainly targets domestic institutions and lacks cooperation with well-known foreign institutions. (2) Keyword analysis displays that the green synthesis method and application of displaying carbon points have been the focus of research, followed by the new method of combining carbon nanomaterials with cancer phototherapy and immunotherapy, the key direction of future research. (3) The dynamic development trend of co-citations suggests that tissue engineering is a hot research topic of carbon nanomaterials in the field of biomedicine, mainly including the research of carbon nanomaterials for the repair and regeneration of heart and nerve tissue and as a bio-ink additive for 3D and 4D bioprinting. (4) In the future, with the development of the biomedical field in the direction of precision and treatment, researchers should speed up the creation of carbon-based systems formed by the combination of scientific and effective carbon nanomaterials with science and technology, new polymers or organic molecules, and new therapeutic methods, so as to give full play to the maximum effect of carbon nanomaterials. © 2025, Publishing House of Chinese Journal of Tissue Engineering Research. All rights reserved.	bibliometrics; biomedicine; biosafety; cancer; carbon nanomaterial; Citespace; co-citation; research hotspot; tissue engineering; visualization
Wang Y.; Chen L.; Zhu Y.; Fang W.; Tan Y.; He Z.; Liao H.	Research status, trends, and mechanisms of biochar adsorption for wastewater treatment: a scientometric review	2024	Environmental Sciences Europe	10.1186/s12302-024-00859-z	In the last decade, biochar application research has emerged as a hot topic in water treatment studies, which made biochar adsorption one of the primary wastewater treatment strategies. This paper presents a global bibliometric analysis of 2673 publications from the Web of Science database, spanning 2011–2022. For a comprehensive understanding of the research status and trends in biochar adsorption for wastewater treatment, the advanced quantitative and visual analysis tools (i.e., CiteSpace and ArcGIS) were employed. The results showed that China emerged as the leading country with the most published articles. The key research area is on the magnetic adsorption of biochar in wastewater. The articles summarized in the review demonstrated unequivocally that biochar can treat a wide range of wastewater even though the adsorption mechanisms of biochar on heavy metals, inorganic salts and organic pollutants in wastewater are not entirely consistent. The review further analyzes the factors affecting the performance of biochar in adsorbing pollutants from wastewater and the improvement measures of biochar functional characteristics, proposing the future research directions focusing on the improvement of the adsorption capacity of biochar products. The information synthesis and discussion would provide valuable insights on the historical, current, and future trends in biochar research, beneficial to solve the practical problems of water pollution and improve the quality of the environment. © The Author(s) 2024.	Adsorption; Biochar; CiteSpace; Pollutant; Wastewater
Huijun L.; Huangyan L.; Yeting Z.	Physical activity and cognition in older adults: research hotspot and topic evolution	2025	Chinese Journal of Tissue Engineering Research	10.12307/2025.301	BACKGROUND: In recent years, there has been an explosion of research in the field of physical activity and cognition of older adults, and the research hotspots and topics in this field are constantly evolving. However, a comprehensive review of the literature in this field is lacking. OBJECTIVE: To explore the current international research hotspots and contents in the field of physical activity and cognition of older adults using bibliometrics. METHODS: The Web of Science Core Collection Database, including SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC, etc., was searched for relevant literature in English. CiteSpace software was used to visualize and analyze 2593 documents collected in the Web of Science database. RESULTS AND CONCLUSION: The evolution of the topics of physical activity and cognition of older adults includes five stages: research on companion robots for older adults, research on the risk of diseases such as dementia, research on cognitive ability and its related ability, research on the relationship between physical activity level and cognitive ability in older adults, and research on different intervention methods and their mechanisms. The research in this field tends to be diversified. On the basis of the research on diseases and cognitive risk reduction, more attention has been paid to the effects of different physical activity modalities on cognition and the related mechanisms, which is the current research hotspot and will be the main research trend in the future. © 2025, Publishing House of Chinese Journal of Tissue Engineering Research. All rights reserved.	bibliometrics; CiteSpace; cognition; older adults; physical activity
Zhang H.; Xin H.; Zhao M.; Bi C.; Xiao Y.; Li Y.; Qin C.	Global research trends on the relationship between IBD and CRC: a bibliometric analysis from 2000 to 2023	2024	Journal of Health, Population and Nutrition	10.1186/s41043-024-00577-5	Objective: This study aimed to conduct a bibliometric analysis of research articles on the relationship between inflammatory bowel disease (IBD) and colorectal cancer (CRC) using CiteSpace to summarize the current research status, hotspots, and trends in this field and present the results visually. Method: Research articles on the relationship between IBD and CRC published from 2000 to 2023 and in English were selected from the Web of Science Core Collection (Woscc) database. The articles were downloaded as “full record and references”. CiteSpace was used to conduct cooperative, cluster, co-citation, and burst analyses. Results: The literature search revealed 4244 articles; of which, 5 duplicates were removed, resulting in the inclusion of 4239 articles in this study. The United States of America had the highest number of publications, with Mayo Clinic and Harvard University being the most active institutions, and Bas Oldenburg being the most active author. Collaboration among core authors was inadequate. JA Eaden was the most cited author, and CRC was the most common keyword. Burst analysis indicated that Sun Yat-sen University might be one of the institutions with a large contribution to this research field in the future. Cluster analysis showed that earlier research focused more on microsatellite instability, whereas “gut microbiota” and “oxidative stress” are considered current research hotspots and trends. Conclusion: At present, the primary focus areas of research are “gut microbiota” and “oxidative stress”. With the improvement of healthcare policies and standards, regular endoscopic monitoring of patients with IBD has become an indispensable diagnostic and therapeutic practice. More drugs will be developed to reduce the risk of progression from IBD to CRC. The findings of this study provide valuable insights into the relationship between IBD and CRC for researchers in the same field. © The Author(s) 2024.	Bibliometric; CiteSpace; CRC; IBD; WoSCC
Gu Z.; Liu Y.	A bibliometric and visualized in oral microbiota and cancer research from 2013 to 2022	2024	Discover Oncology	10.1007/s12672-024-00878-5	Numerous studies have highlighted the implication of oral microbiota in various cancers. However, no bibliometric analysis has been conducted on the relationship between oral microbiota and cancer. This bibliometric analysis aimed to identify the research hotspots in oral microbiota and cancer research, as well as predict future research trends. The literature published relating to oral microbiota and cancer was searched from the Web of Science Core Collection database (WoSCC) from 2013 to 2022. VOSviewer or Citespace software was used to perform the bibliometric analysis, focusing on countries, institutions, authors, journals, keywords and references. A total of 1516 publications were included in the analysis. The number of publications related oral microbiota and cancer increased annually, reaching its peak in 2022 with 287 papers. The United States (456) and China (370) were the countries with the most publications and made significant contributions to the field. Sears CL and Zhou XD were the most productive authors. The high frequency of keywords revealed key topics, including cancer (colorectal cancer, oral cancer), oral microbiota (Fusobacterium nucleatum, Porphyromonas gingivalis), and inflammation (periodontal disease). The latest trend keywords were F. nucleatum, dysbiosis, prognosis, tumor microenvironment, gastric microbiota, complications and survival, suggesting a new hotspot in the field of oral microbiota and cancer. Our study provides a comprehensive analysis of oral microbiota and cancer research, revealing an increase in publications in recent years. Future research directions will continue to focus on the diversity of oral microbiota impacted by cancers and the underlying mechanism connecting them, providing new ideas for targeted therapy of tumorigenesis. © 2024, The Author(s).	Bibliometric analysis; Cancer; Oral microbiota; VOSviewer; WoSCC
Astudillo Potes M.D.; Bauman M.M.J.; Shoushtari A.; Winter B.M.; Singh R.; Rahmani R.; Catapano J.; Lawton M.T.	Elucidating the pathogenesis behind arteriovenous malformations of the central nervous system: a bibliometric analysis	2024	Neurosurgical Review	10.1007/s10143-024-02367-3	Arteriovenous malformations (AVMs) are vascular malformations of the central nervous system (CNS) with potential for significant consequences. The exact pathophysiologic mechanism of AVM formation is not fully understood. This study aims to evaluate bibliometric parameters and citations of the literature of AVMs to provide an overview of how the field has evolved. We performed an electronic search on Web of Science to identify the top 100 published and indexed articles with the highest number of citations discussing the pathogenesis of AVMs. This study yielded 1863 articles, of which the top 100 were selected based on the highest total citation count. These articles included 24% basic science, 46% clinical, and 30% review articles. The most-cited article was a clinical article from 2003, and the most recent was published in 2022. The median number of authors was 6, with the highest being 46 for a clinical article. The top 5 journals were identified, with the highest impact factor being 20.1. 13 countries were identified, with the US contributing the most articles (approximately 70%). Regarding genes of investigation, VEGF was one of the early genes investigated, while more interested in RAS/MAPK has been garnered since 2015. There is a growing interest in AVM genomics and pathogenesis research. While progress has been made in understanding clinical aspects and risk factors, the exact pathophysiological mechanisms and genetic basis of AVM formation remain incompletely understood. Further investigation of key genes in AVM pathogenesis can allow identification of potential therapeutic targets. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2024.	Arteriovenous malformations; AVM; Bibliometric analysis; Pathogenesis
Andersen M.Z.; Zeinert P.; Rosenberg J.; Fonnes S.	Comparative analysis of Cochrane and non-Cochrane reviews over three decades	2024	Systematic Reviews	10.1186/s13643-024-02531-2	Background: Systematic reviews are viewed as the best study design to guide clinical decision-making as they are the least biased publications assuming they are well-conducted and include well-designed studies. Cochrane was initiated in 1993 with an aim of conducting high-quality systematic reviews. We aimed to examine the publication rates of non-Cochrane systematic reviews (henceforth referred to simply as “systematic reviews”) and Cochrane reviews produced throughout Cochrane’s existence and characterize changes throughout the period. Methods: This observational study collected data on systematic reviews published between 1993 and 2022 in PubMed. Identified Cochrane reviews were linked to data from the Cochrane Database of Systematic Reviews via their Digital Object Identifier. Systematic reviews and Cochrane reviews were analyzed separately. Two authors screened a random sample of records to validate the overall sample, providing a precision of 98%. Results: We identified 231,602 (94%) systematic reviews and 15,038 (6%) Cochrane reviews. Publication of systematic reviews has continuously increased with a median yearly increase rate of 26%, while publication of Cochrane reviews has decreased since 2015. From 1993 to 2002, Cochrane reviews constituted 35% of all systematic reviews in PubMed compared with 3.5% in 2013–2022. Systematic reviews consistently had fewer authors than Cochrane reviews, but the number of authors increased over time for both. Chinese first authors conducted 15% and 4% of systematic reviews published from 2013–2022 and 2003–2012, respectively. Most Cochrane reviews had first authors from the UK (36%). The native English-speaking countries the USA, the UK, Canada, and Australia produced a large share of systematic reviews (42%) and Cochrane reviews (62%). The largest publishers of systematic reviews in the last 10 years were gold open access journals. Conclusions: Publication of systematic reviews is increasing rapidly, while fewer Cochrane reviews have been published through the last decade. Native English-speaking countries produced a large proportion of both types of systematic reviews. Gold open access journals and Chinese first authors dominated the publication of systematic reviews for the past 10 years. More research is warranted examining why fewer Cochrane reviews are being published. Additionally, examining these systematic reviews for research waste metrics may provide a clearer picture of their utility. © The Author(s) 2024.	Bibliometrics; Cochrane; Evidence-based medicine; Information science; Systematic review
Wang R.; Huang S.; Wang P.; Shi X.; Li S.; Ye Y.; Zhang W.; Shi L.; Zhou X.; Tang X.	Bibliometric analysis of the application of deep learning in cancer from 2015 to 2023	2024	Cancer Imaging	10.1186/s40644-024-00737-0	Background: Recently, the application of deep learning (DL) has made great progress in various fields, especially in cancer research. However, to date, the bibliometric analysis of the application of DL in cancer is scarce. Therefore, this study aimed to explore the research status and hotspots of the application of DL in cancer. Methods: We retrieved all articles on the application of DL in cancer from the Web of Science database Core Collection database. Biblioshiny, VOSviewer and CiteSpace were used to perform the bibliometric analysis through analyzing the numbers, citations, countries, institutions, authors, journals, references, and keywords. Results: We found 6,016 original articles on the application of DL in cancer. The number of annual publications and total citations were uptrend in general. China published the greatest number of articles, USA had the highest total citations, and Saudi Arabia had the highest centrality. Chinese Academy of Sciences was the most productive institution. Tian, Jie published the greatest number of articles, while He Kaiming was the most co-cited author. IEEE Access was the most popular journal. The analysis of references and keywords showed that DL was mainly used for the prediction, detection, classification and diagnosis of breast cancer, lung cancer, and skin cancer. Conclusions: Overall, the number of articles on the application of DL in cancer is gradually increasing. In the future, further expanding and improving the application scope and accuracy of DL applications, and integrating DL with protein prediction, genomics and cancer research may be the research trends. © The Author(s) 2024.	Bibliometric analysis; Cancer; CiteSpace; Deep learning; Imaging; VOSviewer
Rivero-Moreno Y.; Rodríguez-Rodríguez M.; Machado-Paled D.; Echevarria S.; Pouwels S.; Abou-Mrad A.; Oviedo R.	Robotic surgery across Latin America: a bibliometric analysis of research trends from 2009 to 2022	2024	Journal of Robotic Surgery	10.1007/s11701-024-01865-2	The rise of robotic surgery throughout the world, particularly in Latin America, justifies an objective evaluation of research in this field. This study aimed to use bibliometric techniques to identify the research trends and patterns of robotic surgery in Latin America. The research strategy used the terms “Robotic,” “Surgery,” and the name of all the Latin American countries, in all fields and collections of Web of Science database. Only original articles published between 2009 and 2022 were included. The software Rayyan, Bibliometric in the R Studio, and VOSViewer were used to develop the analyses. After screening, 96 articles were included from 60 different journals. There was a 22.51% annual increase in the scientific production of robotic surgery in the period studied. The more frequent topics by specialty were: Urology (35.4%), General Surgery (34.4%), and Obstetrics and Gynecology (12%). International cooperation was observed in 65.62% of the studies. The Latin American institution with the highest production of manuscripts was the Pontificia Universidad Católica de Chile. Mexico, Chile, and Brazil were, in descending order, the nations with the highest number of corresponding authors and total citations. When considering the total number of articles, Brazil ranked ahead of Chile. Scientific production regarding robotic surgery in Latin America has experienced accelerated growth since its beginning, supported by the high degree of collaboration with leading countries in the field. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024.	Bibliometric analysis; Latin America; Robotic surgery
