"Authors","Title","Year","Source title","DOI","Abstract","Author Keywords"
"Krymskaya A.S.","The Bibliometrics of Bibliometrics as a New Area of Research","2023","SCIENTIFIC AND TECHNICAL INFORMATION PROCESSING","10.3103/S0147688223040147","The author discusses the growth of bibliometric and scientometric studies in various fields of knowledge. The patterns of its development are similar to the flow of bibliographies that at one time led to the emergence of the bibliography of bibliographies. It is noted that similar features allow us to speak about the emergence of the bibliometrics of bibliometrics as a new area of research.","bibliometrics; quantitative measurements; scientometrics; bibliometrics of bibliometrics; bibliography of bibliographies; analytical activities; library journals; SCImago rank; library and information science"
"Lyu P.; Liu X.L.; Yao T.","A bibliometric analysis of literature on bibliometrics in recent half-century","2023","JOURNAL OF INFORMATION SCIENCE","10.1177/01655515231191233","Bibliometrics research has been developed for many years and achieved a great many scientific achievements. The aim of this study is to understand the current research status and development directions of research on bibliometrics. This study implements bibliometric methods based on the Web of Science to analyse the publications, subjects, citation, co-citation, collaboration and keywords of bibliometrics from 1969 to 2022. Bibliometrics is now in the development phase from its cumulative publication curve and citation analysis. Information Science & Library Science and Computer Science are the two major subjects on bibliometric research. Garfield E has the most citations and co-citation frequency in the field of bibliometrics. The number of countries cooperating with the United States is the largest and China is the most productive country; Beijing, London and Madrid are the three sub-network centres of the city cooperation network; Zhang L owns the largest number of author collaborations. Research content on bibliometrics focuses mainly on bibliometrics theory, methods, research evaluation, techniques, tools and applications. The results in this study are beneficial to researchers and readers who are interested in the field of bibliometrics and other related fields to understand the overall picture of bibliometrics, which is conducive to the future development of bibliometrics.","Bibliometrics; bibliometric analysis; co-citation analysis; cooperation analysis; keywords analysis; research performance"
"Bornmann L.","Bibliometrics-based decision tree (BBDT) for deciding whether two universities in the Leiden ranking differ substantially in their performance","2020","SCIENTOMETRICS","10.1007/s11192-019-03319-1","Fast-and-frugal heuristics are simple judgement strategies that are based on only a few predictor variables. Bornmann and Marewski (Scientometrics 120(2):419-459, 2019) introduced bibliometrics-based heuristics (BBHs) which are judgement strategies in evaluative bibliometrics being solely based on publication and/or citation data. To support the understanding and applying of BBHs, Bornmann (in press) proposed bibliometrics-based decision trees (BBDTs) that are visualized BBHs. In this letter to the editor, a BBDT is presented that can be used for the interpretation of results from the Leiden ranking.","Bibliometrics; Heuristics; Bibliometrics-based heuristic (BBH); Bibliometrics-based decision tree (BBDT)"
"Bornmann L.","Bibliometrics-based decision trees (BBDTs) based on bibliometrics-based heuristics (BBHs): Visualized guidelines for the use of bibliometrics in research evaluation","2020","QUANTITATIVE SCIENCE STUDIES","10.1162/qss_a_00012","Fast-and-frugal heuristics are simple strategies that base decisions on only a few predictor variables. In so doing, heuristics may not only reduce complexity but also boost the accuracy of decisions, their speed, and transparency. In this paper, bibliometrics-based decision trees (BBDTs) are introduced for research evaluation purposes. BBDTs visualize bibliometrics-based heuristics (BBHs), which are judgment strategies solely using publication and citation data. The BBDT exemplar presented in this paper can be used as guidance to find an answer on the question in which situations simple indicators such as mean citation rates are reasonable and in which situations more elaborated indicators (i.e., [sub-]field-normalized indicators) should be applied.","bibliometrics; heuristics; bibliometrics-based heuristic (BBH); bibliometrics-based decision tree (BBDT)"
"Pallis G.","A Look at the Bibliometrics","2019","IEEE INTERNET COMPUTING","10.1109/MIC.2019.2931020","N/A","Bibliometrics"
"Epstein I.","Following in the footnotes of giants: Citation analysis and its discontents","2005","SOCIAL WORK IN HEALTH CARE","10.1300/J010v41n03_04","Reflecting on his own personal history with bibliometrics, the author places it in the broader context of research with available information and data-mining. In so doing, he considers the utility Of bibliometrics for raising new questions and its limitations for guiding decision-making.","Available information; bibliometrics; data-mining"
"Moppett I.K.","Individual bibliometrics in UK anaesthesia","2010","BRITISH JOURNAL OF ANAESTHESIA","N/A","N/A","bibliometrics; anesthesia; critical care"
"Lewison G.","Preparation of bibliometrics papers","2020","ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS","10.1590/0001-3765202020201327","N/A","Bibliometrics; guidelines; citations; normalisation"
"Stuart D.","Open bibliometrics and undiscovered public knowledge","2018","ONLINE INFORMATION REVIEW","10.1108/OIR-07-2017-0209","Purpose - The purpose of this paper is to raise awareness of the potential of open bibliometrics, especially for the discovery of previously undiscovered public knowledge. Design/methodology/approach - The viewpoint considers the limitations of the most popular current bibliometric tools and the possibilities offered from more open tools. It is supported by analysis of the openness of keywords associated with bibliometric studies in 2016. Findings - The paper finds that although tools are emerging that offer more open bibliometrics, bibliometric research nonetheless continues to make use of restricted services. Originality/value - This viewpoint on the potential of open bibliometrics is supported by an analysis of the current openness of bibliometric keywords.","Bibliometrics; Open access; Altmetrics; Webometrics; Open bibliometrics"
"Kokol P.; Vosner H.B.; Zavrsnik J.","Application of bibliometrics in medicine: a historical bibliometrics analysis","2021","HEALTH INFORMATION AND LIBRARIES JOURNAL","10.1111/hir.12295","Background The application of bibliometrics in medicine enables one to analyse vast amounts of publications and their production patterns on macroscopic and microscopic levels. Objectives The aim of the study was to analyse the historical perspective of research literature production regarding application of bibliometrics in medicine. Methods Publications related to application of bibliometrics in medicine from 1970 to 2018 were harvested from the Scopus bibliographic database. Reference Publication Year Spectroscopy was triangulated with the VOSViewer to identify historical roots and evolution of topics and clinical areas. Results The search resulted in 6557 publications. The literature production trend was positive. Historical roots analysis identified 33 historical roots and 16 clinical areas where bibliometrics was applied. Discussion The increase in productivity in application of bibliometrics in medicine might be attributed to increased use of quantitative metrics in research evaluation, publish or perish phenomenon and the increased use of evidence-based medicine. Conclusion The trend of the literature production was positive. Medicine was in the forefront of knowledge development in bibliometrics. reference publication year spectroscopy proved to be an accurate method which was able to identify most of the historical roots.","bibliometrics; citation analysis; evidence-based medicine (EBM); research; biomedical"
"Thelwall M.","Bibliometrics to webometrics","2008","JOURNAL OF INFORMATION SCIENCE","10.1177/0165551507087238","Bibliometrics has changed out of all recognition since 1958; becoming established as a field, being taught widely in library and information science schools, and being at the core of a number of science evaluation research groups around the world. This was all made possible by the work of Eugene Garfield and his Science Citation Index. This article reviews the distance that bibliometrics has travelled since 1958 by comparing early bibliometrics with current practice, and by giving an overview of a range of recent developments, such as patent analysis, national research evaluation exercises, visualization techniques, new applications, online citation indexes, and the creation of digital libraries. Webometrics, a modern, fast- growing offshoot of bibliometrics, is reviewed in detail. Finally, future prospects are discussed with regard to both bibliometrics and webometrics.","bibliometrics; scholarly publishing; webometrics"
"Ninkov A.; Frank J.R.; Maggio L.A.","Bibliometrics: Methods for studying academic publishing","2022","PERSPECTIVES ON MEDICAL EDUCATION","10.1007/s40037-021-00695-4","Bibliometrics is the study of academic publishing that uses statistics to describe publishing trends and to highlight relationships between published works. Likened to epidemiology, researchers seek to answer questions about a field based on data about publications (e.g., authors, topics, funding) in the same way that an epidemiologist queries patient data to understand the health of a population. In this Eye Opener, the authors introduce bibliometrics and define its key terminology and concepts, including relational and evaluative bibliometrics. Readers are introduced to common bibliometric methods and their related strengths and weaknesses. The authors provide examples of bibliometrics applied in health professions education and propose potential future research directions. Health professions educators are consumers of bibliometric reports and can adopt its methodologies for future studies.","Bibliometrics; Scholarly communication; Information science"
"Stuart D.","Beyond Bibliometrics: Harnessing Multidimensional Indicators of Scholarly Impact","2015","ONLINE INFORMATION REVIEW","10.1108/OIR-01-2015-0009","N/A","Webometrics; Impact factors; Bibliometrics; Altmetrics"
"Marcelin J.R.; Goel S.; Niehaus W.N.; Messersmith R.C.; Cawcutt K.A.","Which Topics Drive Dissemination? Alternative Bibliometrics Analysis of the Highest-Ranking Articles in 3 Infectious Diseases Journals Before COVID-19","2024","OPEN FORUM INFECTIOUS DISEASES","10.1093/ofid/ofae116","Dissemination of research is paramount to improving patient care. Historically, dissemination is reported in conventional bibliometrics. However, with the increased utilization of digital platforms for communication, alternative bibliometrics describe more real-time dissemination of information. This study documents dissemination of publication topics in infectious diseases journals prior to the COVID-19 pandemic.","alternative metrics; altmetrics attention scores; bibliometrics; infectious diseases; social media"
"Devos P.","Bibliometrics and funding: The example of SIGAPS for the funding of hospitals in France","2023","ANESTHESIE & REANIMATION","10.1016/j.anrea.2023.04.003","N/A","SIGAPS; Bibliometrics; Fundings; France; Hospitals"
"Wang D.Y.; Ma S.","Literature Review on Bibliometrics and Its Future Development-Based on Bibliometric Measures","2016","PROCEEDINGS OF THE 2ND ANNUAL INTERNATIONAL CONFERENCE ON SOCIAL SCIENCE AND CONTEMPORARY HUMANITY DEVELOPMENT (SSCHD)","N/A","Adopting bibliometric measures, based on literature published on bibliometrics from SCI, SSCI, and A&HC in Web of Science, this study makes a quantitative analysis of the time distribution of items published, countries and regions productive authors come from, disciplines the literature belongs to, journal distribution of the literature, as well as research trends and hot spots, aiming at further, diversify, and internationalize the development of bibliometrics in China.","bibliometrics; statistic analysis; hot spots"
"Rubio C.; Luna R.; Zenteno M.; Bowles B.; Lee A.","Dementia research and bibliometrics in Latin America: An example from Mexico","2022","ASIAN JOURNAL OF PSYCHIATRY","10.1016/j.ajp.2021.102949","N/A","Bibliometrics; Dementia; Cognitive dysfunction; Mexico; Latin America"
